y_true,y_prob,y_pred_default
0,0.7284339941496449,1
1,0.9815319233792185,1
1,0.988096603014183,1
0,0.2363870208354183,0
0,0.02223413713508832,0
0,0.07779508263579356,0
1,0.7167009583829338,1
0,0.24640079851337424,0
1,0.862856525568824,1
1,0.9667950160618152,1
0,0.7443723675723708,1
0,0.04284749700232818,0
1,0.8077456619710678,1
0,0.08006123174571586,0
0,0.3584753448656345,0
0,0.22293103980213957,0
1,0.09133111373931507,0
0,0.41807716338231676,0
0,0.0347998537216827,0
0,0.05889986548884031,0
0,0.6720446145536212,1
0,0.11343476163240472,0
1,0.1580392401221661,0
1,0.7263413946863067,1
1,0.9883246352793545,1
0,0.08014002365048123,0
0,0.01050928285273045,0
0,0.22062848457564477,0
0,0.38401997910785235,0
1,0.9485484792087527,1
0,0.3680159460699922,0
1,0.9470951884627762,1
1,0.06232841633365464,0
0,0.7031209673137538,1
0,0.13093015126448374,0
0,0.21273302302167532,0
1,0.9434056894271213,1
1,0.9247126011143207,1
1,0.9191713614734405,1
0,0.6642694511851422,1
1,0.9231121968534609,1
0,0.5429035501884923,1
0,0.09083433530020155,0
0,0.2621209109029617,0
1,0.045546854394012876,0
1,0.6677974942397176,1
0,0.21620262579476615,0
1,0.8572751969406135,1
0,0.07998438999147948,0
0,0.22392147018959346,0
0,0.014826332679540899,0
0,0.7169126157741537,1
1,0.26802045241329675,0
0,0.03389360490743178,0
1,0.933294579678841,1
1,0.9745561055950294,1
1,0.4624058159013274,0
1,0.3830381229839063,0
0,0.1296890226792763,0
0,0.5651644337562993,1
1,0.5955569630012646,1
0,0.14153554156169326,0
1,0.9902056575284395,1
0,0.03352663770213818,0
1,0.8832811723361246,1
1,0.9814267515134808,1
1,0.4868663709977751,0
0,0.29206795331217567,0
1,0.9294544762482647,1
1,0.4956346424705302,0
0,0.05560835851437606,0
1,0.9419199927072107,1
1,0.9887287530610468,1
1,0.8113750967206773,1
1,0.3355386103697018,0
0,0.036147635817184595,0
1,0.9737330863940011,1
0,0.10254873180351673,0
0,0.0359854634064377,0
1,0.842651431627634,1
0,0.8721970591443842,1
0,0.1937620127696316,0
0,0.031567299202967296,0
1,0.8039255051595108,1
0,0.03416778933311875,0
0,0.052275520603089175,0
0,0.05566908686623044,0
0,0.051544229135175305,0
0,0.1002414735404011,0
0,0.03737145357940003,0
0,0.44951630005859694,0
1,0.9890162873023076,1
0,0.9215296284394859,1
0,0.06664170016179127,0
0,0.03059187371235538,0
1,0.7828713455061944,1
1,0.9451375705666534,1
1,0.8542172296176935,1
0,0.18439537063824543,0
0,0.13366388880760277,0
0,0.13211659088206593,0
0,0.0804972423179554,0
0,0.14959725286435557,0
0,0.10083659061354346,0
1,0.9216247708732092,1
0,0.07431713811935207,0
1,0.8439209233350154,1
1,0.5066606134482703,1
1,0.9858945130933222,1
1,0.7426380856105125,1
1,0.7179543537406068,1
1,0.9086938066020026,1
0,0.21723699880773947,0
1,0.8469596650406167,1
1,0.4466990966547932,0
